Designator,Mid X,Mid Y,Rotation,Layer
C1,209.55,-60.75,270.0,top
C10,204.94,-135.15,180.0,top
C12,205.17,-149.27,180.0,top
C2,205.9,-63.025,270.0,top
C3,205.625,-73.975,270.0,top
C4,202.85,-79.65,90.0,top
C5,210.775,-66.475,180.0,top
C6,206.525,-77.625,0.0,top
C8,198.06,-109.47,270.0,top
C9,213.49,-109.44,90.0,top
D1,204.97,-128.42,0.0,top
D10,205.875,-59.7,180.0,top
D11,205.875,-66.425,0.0,top
D2,204.96,-131.81,180.0,top
D3,199.05,-128.47,180.0,top
D4,199.05,-131.83,0.0,top
D5,212.6,-116.175,180.0,top
J12,210.439,-140.97,180.0,bottom
J9,200.914,-59.69,0.0,bottom
JP2,201.2,-154.84,180.0,bottom
Q1,210.63,-150.81,180.0,top
Q2,210.66,-154.46,180.0,top
Q3,211.74,-121.6,0.0,top
R10,199.05,-121.53,180.0,top
R11,199.11,-115.92,180.0,top
R12,199.1,-118.27,180.0,top
R13,211.74,-144.15,0.0,top
R14,211.75,-129.35,0.0,top
R16,212.6,-118.425,0.0,top
R18,211.74,-146.83,0.0,top
R2,204.95,-125.45,0.0,top
R20,211.74,-132.69,0.0,top
R22,205.16,-152.11,0.0,top
R24,199.0,-83.825,0.0,top
R25,203.2,-83.875,0.0,top
R26,200.48,-135.16,180.0,top
R27,205.18,-154.48,0.0,top
R28,198.06,-153.31,90.0,top
R4,204.97,-121.58,0.0,top
R5,204.68,-115.06,0.0,top
R6,206.67,-117.51,0.0,top
R8,199.03,-125.44,180.0,top
U1,202.43,-141.65,0.0,top
U2,205.74,-98.39,0.0,top
U3,200.0,-74.8,180.0,top
U4,210.225,-71.925,270.0,top
